"TradeDate","Buy/Sell","Quantity","Symbol","Expiry","Strike","Put/Call","TradePrice","Proceeds","IBCommission","NetCash","AssetClass","Open/CloseIndicator","Multiplier","Notes/Codes"
"20150211","BUY","1","INTC  170120C00025000","20170120","25","C","9.7","-970","-0.79","-970.79","OPT","O","100","P"
"20150211","BUY","1","INTC  170120C00025000","20170120","25","C","9.7","-970","-0.49","-970.49","OPT","O","100","P"
"20151105","SELL","-2","INTC  170120C00025000","20170120","25","C","0","-0","0","0","OPT","C","100","Ex"
"20150116","BUY","1","INVN  150117P00019000","20150117","19","P","5.3","-530","-1.0882","-531.0882","OPT","C","100",""
"20150116","SELL","-1","INVN  150227P00018500","20150227","18.5","P","5.1","510","-1.101471","508.898529","OPT","O","100",""
"20150226","BUY","1","INVN  150227P00018500","20150227","18.5","P","2.45","-245","-1.09","-246.09","OPT","C","100",""
"20150318","BUY","1","INVN  150320P00020000","20150320","20","P","3.57","-357","-1.09","-358.09","OPT","C","100",""
"20150318","SELL","-1","INVN  150501P00019500","20150501","19.5","P","3.57","357","-1.098569","355.901431","OPT","O","100",""
"20150501","BUY","1","INVN  150501P00019500","20150501","19.5","P","4.58","-458","-1.09","-459.09","OPT","C","100",""
"20150226","SELL","-1","INVN  150619P00017000","20150619","17","P","2.95","295","-1.097428","293.902572","OPT","O","100",""
"20150617","BUY","1","INVN  150619P00017000","20150619","17","P","1.16","-116","-1.09","-117.09","OPT","C","100",""
"20150617","SELL","-1","INVN  150731P00016000","20150731","16","P","1.26","126","-1.0943184","124.9056816","OPT","O","100",""
"20150728","BUY","1","INVN  150731P00016000","20150731","16","P","2.72","-272","-1.09","-273.09","OPT","C","100",""
"20150728","SELL","-1","INVN  151218P00015000","20151218","15","P","2.72","272","-1.0970048","270.9029952","OPT","O","100",""
"20151215","BUY","1","INVN  151218P00015000","20151218","15","P","4.6","-460","-0.3417","-460.3417","OPT","C","100",""
"20150501","SELL","-1","INVN  151218P00018000","20151218","18","P","4.75","475","-1.10074","473.89926","OPT","O","100",""
"20151215","BUY","1","INVN  151218P00018000","20151218","18","P","8","-800","-0.2917","-800.2917","OPT","C","100",""
"20150415","BUY","1","LINE  150417P00020000","20150417","20","P","7.22","-722","-1.09","-723.09","OPT","C","100",""
